tsne1,tsne2,identifier,name,nodetype
-28.470444,13.575942,FOODON:03309360,pine nut kernel (raw),Food
7.104284,-0.617788,FOODON:03309978,sorghum kernel,Food
-28.341646,7.40339,FOODON:03310002,soybean paste,Food
-14.817508,-6.539862,FOODON:00003508,crisphead lettuce,Food
13.002262,25.208227,FOODON:03411125,guinea fowl,Food
-27.72428,-12.0264845,FOODON:03306944,noodle,Food
-43.66993,5.7205057,FOODON:03302995,camembert cheese,Food
9.175434,-10.758473,FOODON:03311757,leek (raw),Food
-33.14723,2.9916334,FOODON:00001302,lasagne food product,Food
-22.553469,16.798235,FOODON:00002761,kidney bean,Food
26.800432,-17.910015,FOODON:03310435,asparagus bean pod,Food
15.684645,-5.0870547,FOODON:03305285,breadfruit (raw),Food
15.671888,-3.4055948,FOODON:00002439,endive,Food
-2.3809092,29.738194,FOODON:03412032,morel mushroom,Food
33.878845,-18.000029,FOODON:03305319,naranjilla (raw),Food
16.026836,-12.622967,FOODON:00003019,shallot (raw),Food
13.607999,-4.1947885,FOODON:03309754,jicama tuber (raw),Food
15.652403,-1.0527879,FOODON:03303085,coconut (raw),Food
28.723423,-8.367637,FOODON:03315521,tallow (edible),Food
-32.77643,5.436615,FOODON:03307686,white sauce,Food
-27.372187,-12.691598,FOODON:03302535,cake mix (dry),Food
24.300985,-19.835958,FOODON:03302732,cauliflower floret (raw),Food
22.945461,-6.7729173,FOODON:03316284,horseradish,Food
3.7259753,8.445763,FOODON:00003101,star fruit,Food
-0.25005683,-15.843054,FOODON:00003067,arrowroot starch,Food
20.55709,4.4191685,FOODON:00001914,gooseberry food product,Food
16.322802,1.5360537,FOODON:03310641,lentil,Food
3.970005,16.747808,FOODON:03411460,pheasant,Food
-7.639424,20.240414,FOODON:03303079,clementine (raw),Food
25.854956,-21.788082,FOODON:03310272,red wine,Food
0.35209164,-3.9356048,FOODON:03301115,soy sauce,Food
0.6903067,-2.539388,FOODON:03301415,soybean,Food
-40.60145,-13.269903,FOODON:00002328,vanilla bean food product,Food
13.002262,25.208227,FOODON:03411304,pigeon,Food
19.539314,-13.480883,FOODON:03301727,celery stalk (raw),Food
35.061195,-1.7265297,FOODON:03315184,whole wheat kernel,Food
37.810104,3.2813735,FOODON:00003011,wax bean,Food
1.4367704,16.936323,FOODON:00003091,"european chestnut (whole, raw)",Food
-2.0085864,-10.442837,FOODON:03301821,brazilnut (raw),Food
35.692356,-6.5054307,FOODON:03301619,barley malt beer beverage,Food
-0.9562951,-19.62954,FOODON:03301946,baked beans (dish),Food
-40.64672,-8.835453,FOODON:03301771,veal (raw),Food
9.949547,-18.437489,FOODON:03302053,lima bean,Food
-8.980152,-22.979486,FOODON:03307240,chocolate,Food
-21.82423,13.389769,FOODON:03311389,pizza (frozen),Food
-7.469066,20.023726,FOODON:03310126,plantain (raw),Food
-10.748014,-11.571424,FOODON:03303520,red kidney bean (canned),Food
3.8038836,-4.998435,FOODON:03305086,lime (raw),Food
1.9718078,19.20634,FOODON:03302080,lupine bean (raw),Food
6.167727,-29.52177,FOODON:03301055,white bread,Food
-25.838017,10.0035515,FOODON:00002659,food (toasted),Food
31.171398,1.596169,FOODON:00001811,dill food product,Food
41.188793,-2.6638174,FOODON:03301570,carrot root (raw),Food
-15.8842945,2.519997,FOODON:03311283,fast food,Food
19.615824,-8.776688,FOODON:03305208,garlic bulb (raw),Food
41.08258,0.13723692,FOODON:03307242,parsnip (raw),Food
-43.33742,1.1750618,FOODON:03301703,oyster (raw),Food
4.1428003,11.850989,FOODON:03307912,bamboo shoot (raw),Food
20.746313,-4.5353537,FOODON:03301830,papaya (raw),Food
-10.894022,15.841616,FOODON:03301217,tomato sauce,Food
-35.828445,21.2301,FOODON:03315272,pastry,Food
-38.995922,-16.019087,FOODON:03301663,licorice candy,Food
39.40303,-3.8207974,FOODON:03301545,cucumber (raw),Food
6.1885915,-17.603434,FOODON:03303411,semolina (durum wheat),Food
-24.97354,-4.4278827,FOODON:00003230,muesli,Food
-9.116213,8.20807,FOODON:00003169,rambutan (raw),Food
24.524302,-16.349442,FOODON:03309574,rutabaga (raw),Food
20.800913,-9.657305,FOODON:03311167,chive leaf (raw),Food
4.8758106,-2.1654463,FOODON:03309702,millet seed (dried),Food
-42.267967,-12.028005,FOODON:03317508,polenta,Food
-25.267668,-2.2038507,FOODON:00003068,arrowroot (raw),Food
-18.30073,15.493698,FOODON:00003548,sweet yellow bell pepper,Food
-13.005506,-26.233479,FOODON:03413796,pearl oyster mushroom,Food
-20.083189,15.797645,FOODON:00002804,"snow pea pod (edible, fresh)",Food
-46.27936,8.749568,FOODON:03308215,abalone (raw),Food
-22.166866,-19.299477,FOODON:03301035,coffee (instant),Food
-9.875082,-11.525894,FOODON:00003436,brown rice,Food
-24.085506,-5.1815414,FOODON:03301571,alfalfa sprout (raw),Food
1.1192915,-14.472315,FOODON:00003199,filo,Food
37.706676,0.5606252,FOODON:00003015,golden zucchini squash,Food
39.826614,-4.241411,FOODON:03310228,green cabbage head (raw),Food
-8.487077,9.90331,FOODON:03306597,kumquat (raw),Food
-13.625646,-15.057849,FOODON:03308793,snapper fillet (raw),Food
20.231674,10.922988,FOODON:03301724,pear (raw),Food
4.744043,-1.2792274,FOODON:03310193,quinoa seed (dried),Food
31.7896,21.092175,FOODON:03301071,cocoa bean (raw),Food
22.5812,-14.925303,FOODON:03301123,grape (raw),Food
-2.6755605,-16.971512,FOODON:03310227,taco shell,Food
7.109497,-10.239058,FOODON:03301813,mango (raw),Food
-4.530222,5.0056925,FOODON:03302976,quince (raw),Food
18.354483,-12.482368,FOODON:03311513,Cavendish banana (ripe),Food
-36.50568,20.496576,FOODON:03307207,gravy mix (dry),Food
14.940257,9.186492,FOODON:03301227,broad bean,Food
11.356156,-2.441653,FOODON:03411489,scallop,Food
23.154932,-1.4953142,FOODON:03303921,spearmint,Food
7.419149,28.899105,FOODON:03309227,atlantic pollock (raw),Food
13.737637,-8.295028,FOODON:00001745,clove food product,Food
40.542217,1.0075157,FOODON:03309709,eggplant (raw),Food
-27.202919,6.84825,FOODON:00002502,ham food product,Food
14.851826,-12.75924,FOODON:00003077,red rice,Food
20.092424,3.5894094,FOODON:00003008,red currant (raw),Food
13.450077,-10.643281,FOODON:03302304,cassava (raw),Food
2.2411542,-24.935505,FOODON:03310815,soft drink,Food
-9.999919,-5.0637097,FOODON:03302339,wheat flour (white),Food
3.2447703,-3.045373,FOODON:00003172,welsh onion,Food
-26.986456,9.376613,FOODON:00002961,chia seed,Food
